_id,fullName,brandName,langualCode,langualCodeDescription,allIngredients,netContents,claims,offMarket
['307459'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'certified organic, extraction rate 140 mg herb per 0.7 ml, dry herb/menstruum ratio: 1:5', 'name': 'California Poppy whole flowering plant extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'Cane Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'Water, Distilled', 'category': 'other'}]]","[[{'unit': 'Fluid Ounce(s)', 'quantity': 1, 'display': '1 Fluid Ounce(s)', 'order': 1}, {'unit': 'mL', 'quantity': 30, 'display': '30 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}, {'langualCodeDescription': 'Structure/Function', 'langualCode': 'P0265'}]]",[0]
['39357'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy liquid extract PlantPart: root, leaf & flower Genus: Eschscholzia Species: californica Note: Fresh herb / menstruum ratio: 1:1.75', 'name': 'California Poppy liquid extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'certified organic Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'distilled Water', 'category': 'other'}, {'ingredientGroup': 'California Poppy', 'notes': '', 'name': 'certified organic California Poppy extractives', 'category': 'botanical'}]]","[[{'unit': 'fl. Oz.', 'quantity': 4, 'display': '4 fl. Oz.', 'order': 1}, {'unit': 'mL', 'quantity': 118.4, 'display': '118.4 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}, {'langualCodeDescription': 'Structure/Function', 'langualCode': 'P0265'}]]",[1]
['32559'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy liquid extract PlantPart: root, leaf & flower Genus: Eschscholzia Species: californica Note: Fresh herb / menstruum ratio: 1:1.75', 'name': 'California Poppy liquid extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'certified organic Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'distilled Water', 'category': 'other'}, {'ingredientGroup': 'California Poppy', 'notes': '', 'name': 'certified organic California Poppy extractives', 'category': 'botanical'}]]","[[{'unit': 'fl. Oz.', 'quantity': 1, 'display': '1 fl. Oz.', 'order': 1}, {'unit': 'mL', 'quantity': 29.6, 'display': '29.6 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}, {'langualCodeDescription': 'Structure/Function', 'langualCode': 'P0265'}]]",[1]
['73700'],['California Poppy Extract'],['Genesis Today'],"['E0159', 'A1306']","['Capsule', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy (Eschscholzia californica cham.) (aerial part) extract (Form: 0.6% Alkaloids Note: 3.2 mg) PlantPart: aerial part Genus: Eschscholzia Species: californica cham.', 'name': 'California Poppy (Eschscholzia californica cham.) (aerial part) extract', 'category': 'botanical'}, {'ingredientGroup': 'capsule', 'notes': '', 'name': 'Vegetable capsule', 'category': 'other'}]]","[[{'unit': 'Vegetarian Capsule(s)', 'quantity': 60, 'display': '60 Vegetarian Capsule(s)', 'order': 1}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}, {'langualCodeDescription': 'Structure/Function', 'langualCode': 'P0265'}]]",[0]
['23166'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy Liquid Extract PlantPart: Fresh Root, Leaf & Flower Genus: Eschscholzia Species: californica Note: Fresh herb / menstruum ratio 1:1.75', 'name': 'California Poppy Liquid Extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'certified organic grain Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'distilled Water', 'category': 'other'}, {'ingredientGroup': 'California Poppy', 'notes': '', 'name': 'California Poppy extractives', 'category': 'botanical'}]]","[[{'unit': 'fl. Oz.', 'quantity': 1, 'display': '1 fl. Oz.', 'order': 1}, {'unit': 'mL', 'quantity': 29.6, 'display': '29.6 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}]]",[1]
['209724'],['Valerian Poppy Supreme'],['Gaia Herbs'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'Proprietary Blend (Herb/Botanical)', 'notes': 'Proprietary Extract Blend Note: 400 mg/mL herb equivalency', 'name': 'Proprietary Extract Blend', 'category': 'blend'}, {'ingredientGroup': 'Skullcap', 'notes': 'Skullcap aerial parts extract PlantPart: aerial parts Note: organic ingredient', 'name': 'Skullcap aerial parts extract', 'category': 'botanical'}, {'ingredientGroup': 'California Poppy', 'notes': 'California Poppy PlantPart: whole plant Note: organic ingredient', 'name': 'California Poppy', 'category': 'botanical'}, {'ingredientGroup': 'Passionflower', 'notes': 'Passionflower PlantPart: flowering vine Note: organic ingredient', 'name': 'Passionflower', 'category': 'botanical'}, {'ingredientGroup': 'Chamomile (not specified)', 'notes': 'Chamomile PlantPart: flower Note: organic ingredient', 'name': 'Chamomile', 'category': 'botanical'}, {'ingredientGroup': 'Mugwort', 'notes': 'Mugwort PlantPart: aerial parts Note: organic ingredient', 'name': 'Mugwort', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'Water', 'category': 'other'}]]","[[{'unit': 'fl. Oz.', 'quantity': 1, 'display': '1 fl. Oz.', 'order': 1}, {'unit': 'mL', 'quantity': 30, 'display': '30 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}, {'langualCodeDescription': 'Structure/Function', 'langualCode': 'P0265'}]]",[0]
['23170'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy Liquid Extract PlantPart: Fresh Root, Leaf & Flower Genus: Eschscholzia Species: californica Note: Fresh herb / menstruum ratio 1:1.75', 'name': 'California Poppy Liquid Extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'certified organic grain Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'distilled Water', 'category': 'other'}, {'ingredientGroup': 'California Poppy', 'notes': '', 'name': 'California Poppy extractives', 'category': 'botanical'}]]","[[{'unit': 'fl. Oz.', 'quantity': 8, 'display': '8 fl. Oz.', 'order': 1}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}]]",[0]
['50195'],['California Poppy'],['Herbs Etc.'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'fresh California Poppy PlantPart: plant Note: organic', 'name': 'fresh California Poppy', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': '40% Grain Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'purified Water', 'category': 'other'}]]","[[{'unit': 'Fluid Ounce(s)', 'quantity': 8, 'display': '8 Fluid Ounce(s)', 'order': 1}, {'unit': 'mL', 'quantity': 236, 'display': '236 mL', 'order': 2}]]","[[{'langualCodeDescription': 'No Claim', 'langualCode': 'P0276'}]]",[0]
['270529'],['California Poppy'],"[""Oregon's Wild Harvest""]","['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': '', 'name': 'fresh organic California Poppy', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'organic Alcohol', 'category': 'non-nutrient/non-botanical'}]]","[[{'unit': 'fl. Oz.', 'quantity': 1, 'display': '1 fl. Oz.', 'order': 1}, {'unit': 'mL', 'quantity': 30, 'display': '30 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}]]",[0]
['23168'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy Liquid Extract PlantPart: Fresh Root, Leaf & Flower Genus: Eschscholzia Species: californica Note: Fresh herb / menstruum ratio 1:1.75', 'name': 'California Poppy Liquid Extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'certified organic grain Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'distilled Water', 'category': 'other'}, {'ingredientGroup': 'California Poppy', 'notes': '', 'name': 'California Poppy extractives', 'category': 'botanical'}]]","[[{'unit': 'fl. Oz.', 'quantity': 4, 'display': '4 fl. Oz.', 'order': 1}, {'unit': 'mL', 'quantity': 118.4, 'display': '118.4 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}]]",[1]
