asin,name,brand,description,features,stars,rating_count,info_table,ingredients
B07WRSQX8N,"Secrets of the Tribe California Poppy 120 Capsules, 800 mg, California Poppy (Eschscholzia Californica) Dried Herb and Flower (120 Capsules)",Visit the Secrets of the Tribe Store,,"3rd Party Lab Tested: No Foreign Substances, No Fillers, Herb ID Confirmed for Your Safety, Micro test | 100% Natural Products: No Artificial Colors or Flavors, No Sugar or Sweeteners Added | Tested and Verified for Purity: Steam Distilled, Pristine Quality, Gluten-Free, No Preservatives, Soy-Free, Dairy-Free, Egg-Free, Cruelty-Free | High Potency: Patent-Pending Unparalleled Extraction Method, Highest Concentration of Bioactive Components 100% Made in the USA | Our product: Easily Absorbed by the Body",4.4 out of 5 stars,8 global ratings,"California Poppy (Eschscholzia californica) Dried Herb and Flower, Vegetable Capsules",
B00QLC5WV8,Buddha Teas - Sleepy Temple Blend - Organic Herbal Tea - For Health & Wellbeing - Blend of Herbs & Flowers - Clean Ingredients - Caffeine Free - OU Kosher & Organic - Non-GMO - 18 Bleach-Free Tea Bags,Visit the Buddha Teas Store,,"SLEEPY TEMPLE BLEND - Our Sleepy Temple Blend Tea is the perfect mix of intentionally selected herbs meant to prepare you for a restful night. This tea is ideal for those seeking a delightful calming tea that supports healthy sleeping patterns. This product contains 1 pack of 18 unbleached tea bags. | TANGY TASTE - This tea combines the enhancing floral notes chamomile, lavender and skullcap, with just the right touch of spearmint leaf, and the all-important harmonizing herb, licorice. No single ingredient jumps out and steals the show, the flavor is uniquely ours. | ZERO CAFFEINE - Our Sleepy Temple Blend Tea is caffeine free, certified organic, non-GMO and free of any additives and flavoring. This tea has no artificial sweeteners and is only made with natural ingredients. | QUALITY - At Buddha Teas, our Sleepy Temple Blend Tea is an exquisite blend of herbs expertly brought together for a soothing, balanced taste perfect to enjoy before bedtime. This tea is an important addition to any tea collector's cupboard. | BUDDHA TEAS - Buddha Teas believes that a proper cup of tea provides a nourishing experience that satisfies the soul while pleasing the senses. We strive to deliver a delightful and vast array of additive-free options, which includes herbal, green, white, and black teas, as well as uniquely crafted blends, made from the freshest herbs and tea leaves.",4.6 out of 5 stars,"3,662 global ratings",,
B076HDD2C3,California Dieters' Drink Extra Strength Tea (Pack of 2 20-Count Boxes),Brand: YOOQLE,,Pack of 2 Boxes (20 tea bags per box) | Caffeine-free | Herbal Tea | Enjoy before or after meals | Supports healthy diet regimen,4.6 out of 5 stars,"2,381 global ratings",,
B0C3WLZ1M4,Best Naturals California Poppy 1000 mg Equivalent - 60 Capsules,Visit the Best Naturals Store,Best Naturals California Poppy 1000 mg Equivalent - 60 Capsules,"3rd Party Lab Tested for Purity & Quality. | Supoorts Relaxation* | Non-GMO & Gluten Free. | Proudly Made in USA, GMP Compliant, FDA Registered Facility. | No Artificial Color, Flavor or Sweetener, No Preservatives, No Sugar, No Milk, No Corn, No Soy, No Egg, No Lactose, No Gluten, No Wheat, No Yeast. Sodium Free.",4 out of 5 stars,76 global ratings,"California Poppy Extract, Microcrystalline Cellulose, Capsule (bovine gelatin), Magnesium Stearate (vegetable source), Silicon Dioxide",
B00BF96PHM,Bio Nutrition California Poppy Herbal Supplement 60 Vegetarian Capsules | Natural Relaxation & Stress Relief | Supports Calm Sleep & Mood,Brand: Bio Nutrition,"Bio Nutrition California Poppy supplements offer a natural, gentle way to promote relaxation and manage stress. Known for its calming properties, California poppy has been traditionally used to support restful sleep, reduce anxiety, and enhance mood. Its active compounds help soothe the nervous system, making it an ideal choice for those seeking relief from daily stress or mild insomnia. By incorporating California poppy into your daily routine, you can enjoy a more balanced and relaxed state of mind. Regular use of California poppy supplements may also support overall well-being by promoting a sense of calm without the grogginess often associated with other sleep aids. As a natural alternative, it provides an effective way to improve mood and mental clarity, while helping to ease occasional discomfort from stress. Ideal for anyone looking to manage life's demands more peacefully.",Supports stress relief | May help with restful sleep,4.4 out of 5 stars,117 global ratings,Bio Nutrition - California Poppy Seed 500 mg.,
B0DJCHK8Z6,"Nelson's Tea Duo - California Poppy (1oz) & Chamomile Honey Vanilla (2.2oz) - Two Herbal Loose Leaf Teas Featuring California Poppy, Chamomile, Honeybush, Lemongrass, and More",Visit the Nelson's Tea Store,"California Poppy Ingredients: Our loose-leaf herbal tea is meticulously curated from all-natural California Poppy, chosen and processed to maintain its innate purity. We take pride in offering a California pure natural blend, carefully free of any fillers or additives, ensuring that you experience the full benefits of this herbal tea. Chamomile Honey Vanilla Ingredients: This exquisite infusion combines honeybush, chamomile, lemongrass, licorice root, toasted coconut, and bee pollen, all adorned with the comforting essence of chamomile, honey, and vanilla.","California Poppy Ingredients: Our loose-leaf herbal tea is meticulously curated from all-natural California Poppy, chosen and processed to maintain its innate purity. We take pride in offering a California pure natural blend, carefully free of any fillers or additives, ensuring that you experience the full benefits of this herbal tea. | Chamomile Honey Vanilla Ingredients: This exquisite infusion combines honeybush, chamomile, lemongrass, licorice root, toasted coconut, and bee pollen, all adorned with the comforting essence of chamomile, honey, and vanilla. | SUPPORT WOMAN-OWNED BUSINESS: By choosing this product, you are not only treating yourself to a remarkable tea experience but also supporting a woman-owned business. The dedication and passion of the visionary entrepreneur behind this brand shine through in every aspect of this tea. Your support directly contributes to empowering female entrepreneurs, fostering a more inclusive and vibrant business landscape, and empower a dream nurtured with love. | EXPERTLY CRAFTED IN USA: Rest assured that every batch of this exceptional tea blend is crafted and packaged with great care in Indianapolis, IN USA. From sourcing the finest ingredients to handcrafting each batch, we ensure that every aspect of our tea production reflects our commitment to excellence. Experience the taste of authenticity and the pride of supporting locally made products. The meticulous attention to detail ensures that you receive a product of unparalleled quality and freshness. | EMBRACE THE TEA RITUAL: Beyond its delightful taste, this tea embodies the essence of what tea brings to people. It is a catalyst for connection, creating cherished moments of togetherness and shared experiences. It provides a comforting refuge, allowing you to unwind and find solace in the ritual of brewing and savoring a cup of tea. With each sip, you embark on a sensory journey that combines the pleasure of unique flavors with the profound rejuvenation that only tea can provide.",,,,
B09BK1KWFS,CaliPM Valerian Root & California Poppy Natural Sleep Aid for Deep Sleep & Stress Relief - Calming Nervous System Support - Soothes Nighttime Discomfort - Vegan & Sugar-Free - 100 Capsules - 600mg,Visit the Ethnospot Store,,"Synergetic blend of Valerian Root and California Poppy for Deep Sleep & Stress Relief: Our powerful blend of natural ingredients works together to support your nervous system and promote restful sleep, so you can wake up feeling refreshed and rejuvenated. | No Fillers or Artificial Ingredients: Our capsules contain only pure, high-quality Valerian Root and California Poppy extract, without any unnecessary fillers or additives. You can trust that you're getting a clean and effective product. | Non-Habit Forming: Unlike some prescription sleep aids, our natural sleep aid won't leave you feeling groggy or dependent. You can take our capsules as needed for occasional sleep support without worrying about addiction or side effects. | Highlighting Ingredients: Our formula features 600mg of Valerian Root and California Poppy extract per capsule, two of the most well-known natural sleep aids. Valerian root has been used for centuries to calm the mind and promote relaxation, while California Poppy is known for its soothing properties and ability to alleviate discomfort. | Vegan & Sugar-Free: Our capsules are suitable for vegans and contain no added sugar, making them a healthy choice for anyone looking to improve their sleep quality naturally. Unlike other sleep aids like melatonin, our natural blend won't leave you feeling groggy or interfere with your natural sleep cycle. Plus, with 100 capsules per bottle, you'll have plenty of sleep support to last you for weeks to come.",3.6 out of 5 stars,54 global ratings,,
B01N6PRQID,"Nelson's Tea - Lavender Orange - Herbal Loose Leaf - Caffeine Free - Orange peel, blue vervian, California poppy, lavender, catnip, cornflower, basil - 1.1 oz.",Visit the Nelson's Tea Store,"This relaxing tonic helps calm the nerves and the spirit. Sometimes the body and soul just need to breathe, and this tonic helps you achieve just that. Ingredients: Orange peel, blue vervian, California poppy, lavender, catnip, cornflower, basil, natural flavoring Naturally Caffeine Free Brewing Instructions: Brew 1-2 teaspoons of tea/8 oz. of water at 203 degrees Fahrenheit, allowing 4 minutes to steep for full flavor and benefits. For iced tea simply double the amount of tea used during brewing and steep with the same amount and temperature of hot water, and when finished, simply pour over a cup of ice. *1.1 oz. bag will yield roughly 20 cups of tea","This relaxing tonic helps calm the nerves and the spirit. Sometimes the body and soul just need to breathe, and this tonic helps you achieve just that. | Ingredients: Orange peel, blue vervian, California poppy, lavender, catnip, cornflower, basil, natural flavoring | Blended & Packaged in Indianapolis, IN USA",4.1 out of 5 stars,3 global ratings,,
B07ZG6VC6H,"California Poppy 60 Capsules, 800 mg, Made with USDA Organic California Poppy (Eschscholzia Californica) Dried Herb and Flower (60 Capsules)",Visit the HerbEra Store,,"100% NATURAL PRODUCT: No artificial colors or flavors | MADE AND TESTED IN THE USA: We made our products in Colorado, famous for its pure nature. | Verified herb identity, confirmed highest quality of raw herb and the extract | Best natural sources of herbs and materials: Every vendor is carefully picked to meet our high standards",4.4 out of 5 stars,14 global ratings,,
B0C5X89MYF,"Extra Strength California Dieter's Tea Delight Tea For Men and Women 20 Count, 1 pack",Brand: Eelicious,,"Natural herbal tea, NO CAFFEINE | Herbal Tea | Dieter's Delight",4.6 out of 5 stars,48 global ratings,,
