asin,name,brand,description,features,stars,rating_count,info_table,ingredients
B01A2UQTOI,"California Poppy Alcohol-Free Liquid Extract, Organic California Poppy (Eschscholzia Californica) Dried Above-Ground Part Glycerite 4 oz",Brand: Hawaii Pharm,"The California poppy is the state flower of California, a tender perennial plant bearing blue-green leaves and 2 to 4 inch (5 to 10 cm) wide flowers that open in bright sun and close on cloudy days and at night. The California poppy is considered an ancient plant whose origins are not entirely known. Native Americans in California prized them as a source of food and for the oil that could be extracted from the plant. Eschscholzia californica was the first named member of the genus Eschscholzia, which was named by the German botanist Adelbert von Chamisso after the Baltic German botanist Johann Friedrich von Eschscholtz, his friend and colleague on Otto von Kotzebue’s scientific expedition to California and the greater Pacific in mid-1810s aboard the Russian ship Rurik.","California Poppy Glycerite contains ONLY natural ingredients! Alcohol Free! Gluten Free! Non-GMO! | High Quality California Poppy NON-Alcohol liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! | The highest quality California Poppy Glycerin based liquid extract made with love for plants and respect for Nature! | We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water! Really the BEST California Poppy herbal glycerite on market!",4.3 out of 5 stars,38 global ratings,"Certified Organic California Poppy (Eschscholzia Californica) above-ground parts, dried. Origin: France. Other ingredients: Vegetable palm glycerin, crystal clear water. Contains NO: Alcohol, GMO, gluten, artificial colors, heavy metals, preservatives, pesticides, fertilizers.",
B000SWTK4W,"The Republic of Tea Cranberry Blood Orange Black Tea, Tin of 50 Tea Bags",Visit the The Republic of Tea Store,,"A FRUITFUL CUP: Ready to take on the day? A cup of this tart-sweet, fruitful blend is a step in the right direction; Rich cranberries are deliciously sweet and tart; Blood oranges are named for their crimson flesh and have a sunny citrus flavor; Every sip brings forth a flavor you will surely savor; Enjoy sip by sip | INGREDIENTS: Black tea, natural cranberry flavor, orange peels, natural blood orange flavor and cranberry and red currant bits | Caffeine: With less than half the caffeine compared to coffee, this fine black tea provides a lovely boost | Iced Tea: Double the amount tea, pour over ice, and enjoy this refreshingly cold beverage",4.6 out of 5 stars,"1,129 global ratings",,
B0CFFWTT74,"Doctor Morse's Heal All Tea - Loose Blend 100% Organic Herbal Tea - Vegan & Caffeine Free - Full Body Detox - Naturopath Formulated - Burdock Root, Dandelion Leaf, Black Walnut Hull - 7oz, 86 Servings",Visit the Doctor Morse's Store,,"Comprehensive Detox Formula: Doctor Morse's Heal All Tea supports your body's natural detoxification process. This potent detox tea combines burdock root tea, dandelion tea, and slippery elm, making it perfect for a full body cleanse detox and overall wellness. | Digestive Health Booster: Improve your digestive health with our herbal tea blend. Featuring dandelion root tea and butcher’s broom, this tea promotes a healthy digestive system, making it an ideal digestive tea and gut cleanse detox for women and men. | Promotes Gut Health & Lymphatic Harmony: Doctor Morse’s Heal All Tea is designed to cleanse and detoxify the gut. With ingredients like black walnut and golden seal, it acts as a powerful gut cleanse, making it a valuable addition to your gut health tea routine. Experience the harmony of white oak and mullein in our herbal tea detox, promoting lymphatic flow and interstitial fluid balance. | Caffeine-Free & Vegan Tea: Enjoy a soothing cup of caffeine free vegan tea that supports your overall wellness. This organic herbal tea promotes digestive health and acts as a wellness tea and immunity tea, perfect for daily consumption without the jitters. | Organic and Wildcrafted Ingredients: Our loose tea blend is made from 100% organic, wildcrafted, or consciously cultivated herbs. Each serving of this organic loose leaf tea ensures you receive the best nature has to offer, making it a good choice for those prioritizing an vegan tea and herbal cleanse detox drink.",4.4 out of 5 stars,184 global ratings,,
B07ZJK7SM7,"NUTRARELEASE - Kidney Tea | Bloated Stomach Tea – Includes Uva Ursi, Dandelion & Nettle - Assist With Water Retention & Digestion - 20 Enveloped Tea Bags - by Nutra Tea - Herbal Tea",Visit the Nutra Tea Store,,"HELPS TO RELEASE EXCESS FLUID - A relieving blend of natural diuretics to help facilitate digestion, clear the urinary tract and detoxify the body. | GREAT TASTING UNIQUE HERBAL BLEND - Dandelion root (20%), Urva Ursi (20%), Parsley (20%), Cleavers, Nettle, Corn Silk, Bachu Leaves & Celery. | CONVENIENT ALTERNATIVE TO HERBAL SUPPLEMENTS – Containing greater quantities than herbal supplements with the added benefit of no inactive ingredients. | FORMULATED BY A TEAM OF SPECIALISTS – This highly effective tea blend was scientifically developed by our R&D team consisting of qualified pharmacists and nutritionists. | REUSABLE TEA BAGS – Containing only the finest and most potent ingredients from around the world, each tea bag can be reused to sustain optimum levels throughout the day.",4.3 out of 5 stars,"2,270 global ratings",,
B00O62MT7A,Buddha Teas - Calm Buddha Blend - Organic Herbal Tea - For Health & Wellbeing - Blend of Organic Herbs - Clean Ingredients - Caffeine Free - OU Kosher & Organic - Non-GMO - 18 Bleach-Free Tea Bags,Visit the Buddha Teas Store,,"Ingredients: Organic Chamomile Flowers, Organic Lavender, Organic Passion Flower, Organic Skullcap, Organic Spearmint, Organic St. John's Wort, Organic Cinnamon",4.6 out of 5 stars,762 global ratings,,
B0CQKHLY7C,"Pure And Easy Tea, Nighttime Nirvana, Sleep and Stress Tea, Supports Calmness and Relaxation, Herbal Infusion, Wellness Tea, Caffeine-Free, Loose Leaf Tea Blend, 100g/3.5oz",Visit the Pure And Easy Tea Store,,"Soothe Your Senses: Immerse yourself in the calming aroma of Lavender, Chamomile, and Linden Blossom, This calming tea for anxiety and stress promote relaxation and tranquility before bedtime. | Promote Restful Sleep: With Wellness Tea ingredients like Valerian and Passion Flower, this sleepy time tea is crafted to help ease tension, calm the mind, and prepare you for a restful night's sleep. | Make it a Nightly Ritual: Incorporate Nighttime Nirvana sleepytime detox tea into your nightly routine to unwind and prepare your body and mind for a peaceful and rejuvenating sleep experience, ensuring you wake up feeling refreshed and revitalized every morning. | Unmatched Value: Pure & Easy sleepytime tea extra strength tea delivers unparalleled customer value with 100g of the highest quality tea, surpassing competitors. Enjoy larger quantities per serving for richer results, outshining the competition and savoring the goodness of our premium tea with every sip. | Unadulterated: At Pure & Easy Tea, we take pride in our commitment to unadulterated, all-natural premium teas, crafting blends with the highest-quality ingredients to deliver an authentic, pure tea experience. With us, what you see in the bag is precisely what you smell and taste.",4.3 out of 5 stars,44 global ratings,,
B0CZT5ZW57,"Akshit Natural Papaya Leaf Tea Bags, 75 Tea Bags,100% Natural & Pure Papaya Tea from Papaya Leaves, Herbal Papaya Leaf Tea, Non-GMO, Gluten free, Caffeine free.",Visit the Akshit Store,,"If you love tea too, just know you’re one of a kind! Whether you’re looking for a natural pure tea, or a herbal, relaxing tea, just grab our papaya tea bags that only have the finest, natural papaya leaves ingredients with no added flavors,Freshness is the key to a perfect cup of tea, which is why Akshit exclusively sources the freshest and finest papaya leaf tea bags. Each bag reflects the dedication and craftsmanship of our artisan farmers. | 75 PREMIUM PAPAYA LEAF TEA BAGS; Papaya leaf tea, renowned for its rich natural benefits that, may contribute to overall well-being, making this leaf tea a perfect addition to your daily routine. Papaya tea is a gift from nature | Natural Papaya Leaf Tea Bags: Akshit Papaya Leaf Tea Bags are carefully processed in a clean environment to support a healthy lifestyle. Free from preservatives, additives, artificial colors, and flavors, these papaya tea bags are designed with simplicity in mind—no strings, staples, or dyes, just pure, natural goodness. | The only way to enjoy a fresher tea than Akshit Papaya Leaf Tea Bags is to visit a papaya plantation with a teapot and hot water! These natural papaya leaf tea bags are packed with rich leaf flavor and nutrients for a truly refreshing experience. | CAFFEINE FREE : Experience the soothing and calming benefits of our Papaya Leaf Herbal Tea, naturally free from caffeine. Perfect for enjoying at any time of day, it offers relaxation without the buzz. | SIMPLE BREWING: Brewing a perfect cup of papaya leaf Tea is effortless. Just steep one tea bag in hot water for a few minutes to release the natural flavors and benefits",4.8 out of 5 stars,10 global ratings,,
B0171QF5R8,"Sleep Tea for Bedtime - Calming Sleepytime Herbal Tea w/Valerian Root, Chamomile, Passion Flower, Lemon Balm - Relaxing Natural Nighty Night Sleeping Tea - Relaxation Self Care Gifts for Women",Visit the Hey Girl Tea Store,,"Delicious And Won't Leave You Feeling Groggy The Next Day - Specifically designed for adults, with a relaxing aroma and well-blended flavors that we like to call ""Tangerine Dream."" Made with an emphasis on NATURAL INGREDIENTS, it includes passion flower, chamomile flower, lemon balm, catnip herb, stevia leaf, valerian root extract, orange peel, and natural flavors. | Natural Way To Relax & Sleep - If you're struggling to get a good nighttime sleep due to stress, you're not alone. It's a common issue that can leave us feeling exhausted and unable to function well the next day. Not to mention, it can make us cranky, too! The next time you can't sleep, try brewing a cup of Hey Girl herbal tea before bed and achieve that sweet dreams you need. See the difference for yourself! | Works Like A Charm- No more tossing and turning in the middle of the night. FALL ASLEEP and STAY ASLEEP when you drink a cup of our sleep aid tea at night an hour before sleeping. It's SOOTHING & CALMING effect will help you relax and drift off to dreamland in no time. Sleep like a baby without interruptions and wake up the next morning feeling fresh and ready to take on the day. | Relaxing Gifts For Women - There's nothing like a good cup of tea to help you relax and feel pampered. Our sleepy time. tea is the perfect get well soon or self care gift or for any women who could use a little extra rest and relaxation. It's a thoughtful way to show your appreciation for the special lady in your life, whether she's your mom, sister, wife, girlfriend, colleague or a friend. | Worth A Try - We understand that you may have tried many products before that haven't worked out, but we are confident that our Hey Girl product is the one you are looking for. Thousands of customers worldwide have already made the switch to Hey Girl and never looked back. Get the uncompromised QUALITY we offer and don't wait any longer. Give Hey Girl sleep tea a try and get the good night's rest you deserve!",4.3 out of 5 stars,"4,045 global ratings",,
B09K1MFX5V,Buddha Teas - Organic Meditation Moment Tea - Herbal Tea - For Health & Wellbeing - With Antioxidants & Minerals - Clean Ingredients - Caffeine Free - OU Kosher & Non-GMO - 18 Tea Bags (Pack of 1),Visit the Buddha Teas Store,,"MEDITATION MOMENT TEA - Our Meditation Moment Tea is packed with calming and fragrant herbs, thai tea will be exactly what you need to keep you tranquil and focused. This tea will help you to focus on the present moment. | FLORAL TASTE - This tea has some serious flavor that is enjoyable at any time of the day. Tasting slightly floral and fragrant due to the rose and lavender with a hint of sweet mint for that aftertaste that keeps you coming back for more. | NO CAFFEINE - Our Meditation Moment Tea is caffeine free, certified organic and free of any additives and flavoring. This tea has no artificial sweeteners and is only made with natural ingredients. | QUALITY - At Buddha Teas, our Meditation Moment Tea is filled with herbs that calm and send you to a place of serenity. We’ve purposefully blended these amazingly beneficial herbs - chamomile, lemongrass, holy basil and more - to create unique benefits not found in just one single herb. This tea is an important addition to any tea collector's cupboard. | BUDDHA TEAS - Buddha Teas believes that a proper cup of tea provides a nourishing experience that satisfies the soul while pleasing the senses. We strive to deliver a delightful and vast array of additive-free options, which includes herbal, green, white, and black teas, as well as uniquely crafted blends, made from the freshest herbs and tea leaves.",4.6 out of 5 stars,"1,449 global ratings",,
B084MBLXHV,"Aprika Life Sleep Tea for Bedtime Relaxation & Stress Relief – Natural Caffeine-Free Herbal Nighttime Tea with Chamomile, Lavender, Mint & Hibiscus – No Melatonin Sleep Aid – Relaxing Tea Bags 60 Pack",Visit the aprikalife Store,,"Expertly Curated Artisanal Blend: Contains 12 herbs proven to calm anxiety, relieve stress, ease tension & prepare the body & mind for bedtime. Individually handpicked by expert herbalists with extensive experience, each carefully selected ingredient plays a vital role in promoting restful, peaceful, more rejuvenating sleep without the morning-after grogginess. | Pure, Natural & Caffeine-Free: 100% Vegan. Gluten-Free. No caffeine. No preservatives. No additives. Zero sugar or sweetener. We use only the purest, finest farm-fresh herbs to make sure you’re getting the most from every sip without the next-day drowsiness. Enjoy a cup of our sleeping tea an hour before bedtime to relax, unwind & get ready for the best sleep ever. | Valerian Root & Melatonin-Free: We’ve intentionally excluded melatonin & valerian root from our sleepy time tea so that you wake up feeling refreshed, relaxed & recharged rather than drowsy & disoriented. No hangover grog or irritability. No weird dreams or funky smell. Be soothed & comforted by the delicate floral flavor & soothing aroma of our natural sleep aid tea. | (60) Bags in Resealable Pouch: Includes 60 stringless, staple-free, unbleached teabags in a pouch that reseals to preserve freshness. Scan the QR code on the packaging to access our bonus sleep guide! Full of tips & tricks for falling asleep faster & staying asleep through the night, the guide has helped countless of our customers zonk out fast & stay asleep longer. | Thoughtful Gift for Better Sleep: Give the gift of sweet dreams & a good night’s rest! Give a pack of our herbal sleep tea bags as a feel better gift, new mom gift or surgery recovery gift. Add it to a spa kit or get better soon care package. Great as nighty night tea for insomnia, natural sleep tea for kids or gentle pregnancy friendly sleep tea for pregnant women.",4.3 out of 5 stars,"1,372 global ratings",,
B01A7G6S2A,"Tiesta Tea - Lavender Chamomile, Soft Chamomile Herbal Tea, Premium Loose Leaf Tea Blend, Non Caffeinated, 200 Cups - 8 Ounce Resealable Bulk Pouch",Visit the Tiesta Tea Store,,"SOFT CHAMOMILE HERBAL TEA: Embrace the serene and comforting essence of our Lavender Chamomile tea. This loose leaf blend artfully combines the soothing aroma of lavender with the gentle warmth of chamomile, delivering a tranquil and soothing retreat in every cup. It's your invitation to unwind and discover your own peaceful moment, sip by sip. | PREMIUM LOOSE LEAF TEA BLEND: Elevate your tea ritual with our meticulously crafted premium loose leaf blend. We've carefully sourced the finest natural ingredients, including premium chamomile, lemongrass, and lavender, to awaken your senses. As you bid farewell to disposable tea bags, you'll embrace the opulent richness that's visible in the vibrant tea leaves, aromatic in its scent, and truly savored in each cup. | RESEALABLE BULK POUCH FOR TEA LOVERS: Our charming and reusable pouch is the perfect gift for tea enthusiasts. Offering airtight storage, it ensures that your chamomile loose leaf tea remains cozy and fresh for 140-200 cups. Not only a functional addition to your tea collection, but it also sits beautifully on your countertop, a testament to your passion for fine teas. | EFFORTLESS BREWING: Enjoy a hassle-free brewing experience with our chamomile loose leaf tea. Simply scoop 1.5 tsp of this delightful loose leaf tea blend for every 8 oz of hot water at 208 degrees Fahrenheit. Allow it to steep for 5-7 minutes to release the full spectrum of flavors. Then, savor the moment as you remove the tea leaves and indulge in your perfectly steeped cup. It's the ideal way to appreciate the rich and aromatic notes of our premium blend. | LIVE LOOSE + OUR IMPACT: We don’t take ourselves too seriously, but we seriously love to give back; through the Tiesta Tea Foundation, we provide resources and relief to communities across the globe and in our own backyard; so join us and Live Loose!",4.6 out of 5 stars,"18,668 global ratings",,
B09FB1SBVV,"Tiesta Tea - Discovery Tea Sampler Dry Flight Set | High to No Caffeine Hot & Iced Tea, Up to 200 Cups | Loose Leaf Tea Variety Pack with Green, Herbal, Black & Chai Tea - 20 Resealable Sample Pouches",Visit the Tiesta Tea Store,,"EXPLORE A WORLD OF FLAVORS: Tiesta Tea’s Discovery Sampler Dry Flight Tea Set features a diverse selection of loose leaf teas. With a mix of green, black, herbal, and chamomile teas, this sampler set offers an assortment of flavors for different preferences. Whether you enjoy bold or subtle notes, this tea set allows you to explore a wide range of flavor profiles. | INCLUDES 20 DIFFERENT TEA BLENDS: This sampler set includes 20 loose leaf tea blends, such as Chai Love, Victorian Earl Grey, Passion Berry Jolt, Blueberry Wild Child, Cherry Punch, Pineapple Sangria, Pomegranatopia, Maui Mango, Fireberry, Peach Party, Meyer Lemon Zest, Lemon Ginger Turmeric, Orange Tango, Fruity Paradise, Blackberry Bellini, Pineapple Blues, Ginger Sweet Peach, Nutty Almond Cream, Lavender Chamomile, and Chamomile Mint. *Teas may vary. | LOOSE LEAF TEA BLENDS: Experience loose leaf tea blends that allow for optimal flavor extraction and aroma with every brew. This sampler set provides the opportunity to try teas in their loose leaf form, offering a unique tea-drinking experience compared to traditional bagged teas, giving you a rich, aromatic cup with each infusion. | BREWS 6-10 CUPS PER SAMPLE: Each sample in this Tiesta Tea Sampler Set brews between 6 to 10 cups, providing ample opportunities to enjoy and explore each unique blend. Packaged in resealable pouches, these loose leaf teas stay fresh between uses, ensuring a flavorful cup every time. Whether you prefer a morning pick-me-up or an evening wind-down, this sampler offers a variety of teas to enjoy at your own pace. | SEASONAL FLAVORS: Tiesta Tea’s loose-leaf blends are crafted to enhance your tea experience throughout the colder months. These seasonal favorites deliver a variety of flavors that are easy to brew and enjoy. Whether for personal use or shared during holiday gatherings, Tiesta Tea includes options that match different preferences and occasions.",4.6 out of 5 stars,"8,022 global ratings",,
B07ZP3WJMZ,"NUTRAURIC - Uric Acid Cleanse and Kidney Support – Kidney Cleanse Tea – Includes Cherry, Nettle & Turmeric - 20 Enveloped Tea Bags - by Nutra Tea - Herbal Tea",Visit the Nutra Tea Store,,"HELPS COMBAT HIGH URIC ACID LEVELS – Assists in restoring normal urinary tract function and flushing out of excess uric acid. | GREAT TASTING UNIQUE HERBAL BLEND - Cherry Dry (30%), Nettle (20%), Turmeric (20%), Banaba Leaf, Orange Peel & Piperine. | CONVENIENT ALTERNATIVE TO HERBAL SUPPLEMENTS – Containing greater quantities than herbal supplements with the added benefit of no inactive ingredients. | FORMULATED BY A TEAM OF SPECIALISTS – This highly effective tea blend was scientifically developed by our R&D team consisting of qualified pharmacists and nutritionists. | REUSABLE TEA BAGS – Containing only the finest and most potent ingredients from around the world, each tea bag can be reused to sustain optimum levels throughout the day.",4.4 out of 5 stars,"1,987 global ratings",,
B06XK1HTZV,"Secrets of the Tribe California Poppy Tincture Alcohol-Free Extract, USDA Organic California Poppy Eschscholzia May Relieve Muscle Cramps and Headaches 2 oz (Health and Beauty)",Visit the Secrets of the Tribe Store,,"USDA Organic Certification: Our products have met strict standards for the growing, processing and handling set by the National Organic Program | 3rd Party Lab Tested: No Foreign Substances, No Fillers, Herb ID Confirmed for Your Safety, Micro test | 100% Natural Products: No Artificial Colors or Flavors, No Sugar or Sweeteners Added, Easily Absorbed by the Body | Tested and Verified for Purity: Steam Distilled, Pristine Quality, Gluten-Free, No Preservatives, Soy-Free, Dairy-Free, Egg-Free, Cruelty-Free | High Potency: Patent-Pending Unparalleled Extraction Method, Highest Concentration of Bioactive Components 100% Made in the USA",3.9 out of 5 stars,19 global ratings,"California Poppy (Eschscholzia californica) Dried Herb and Flower, Water, Organic Glycerin",
B0CL2G3X9V,Olvvla - Natural Calendula Flowers Tea Bags - 1.5g X 50 Count - Premium Calendula Tea - Non-GMO - Caffeine-free - Dried Calendula Herbal Tea - Rich in Antioxidants & Promote Relaxation,Visit the Olvvla Store,,"CALENDULA HERBS: We only selected vibrant and orange-red calendula flowers as raw material, which is 100% pure natural without any artificial additives. They are dried as whole buds, then cut and sifted to ensure greater aroma and the release of nutrition; | DELICATE & MELLOW: A cup of natural calendula tea brings you a feeling of elegance and gentleness. Although it may taste slightly bitter, it's more of a delicate and mellow flavor. Of course, you can also add honey or sugar as you like to get a better flavor; | PROMOTE RELAXATION: The aroma of warm calendula flowers tea is equally captivating. As the steam rises from your cup, be greeted by a gentle, floral aroma that will soothe your senses. Nutrition in every sip of calendula tea can relax you as well; | HEALTH BENEFITS: The benefits of calendula officinalis extend beyond their visual appeal. Packed with antioxidants and vitamins, calendula flowers tea not only supports digestion and improves skin health, it also helps to rejuvenate you and boost immunity; | EASY TO USE: 50 calendula flowers tea bags are placed in a resealable bag to keep them fresh. Just take one and place it in the cup, add 8 fl.oz of boiling water. Steep for about 3-5 minutes. Take out the tea bag then enjoy this calendula tea;",4.3 out of 5 stars,990 global ratings,,
B0BJSJGVTR,"Yerbero - Pasiflora 3.5oz (100gr) Passion Flower Whole Herbal Tea | WildCrafted Stand Up Resealable Bag | Crafted By Nature100% All Natural, non-GMO, Gluten-free.",Visit the YERBERO Store,,"Yerbero - Pasiflora 3.5oz (100gr) Passion Flower Whole Herbal Tea | Bed Time / Relax Mind Herbal Tea | WildCrafted. | 100% All Natural - Our Yerbero teas contain no additives, preservatives, or artificial colors. | Bringing you the benefits of nature in the form of tea. | Yerbero only selects the best quality herbs to bring you the best tea. | METHOD OF PREPARATION: put water to boil. When it reaches a boil, turn off the heat and add the Passionflower. Let it sit for eight minutes, then strain it and you're ready to drink. | Nature is a generous treasure trove of benefits just waiting to be discovered. So, why wait? Dive into the adventure with our natural tea and unearth the wonders nature has to offer!",4.1 out of 5 stars,154 global ratings,,
B00CPD7EUE,"Good Nature Organic Elderflower Tea, 1.07 Ounce",Visit the Good Nature Store,"Good Nature Organic Elderflower Tea is a stress-relieving herbal tea blend. This delightful tea gets its sweet fruit-and-honey flavor from tiny organic elderflowers that grow naturally in Macedonia's secluded mountain meadows. Elderflowers have been used for centuries in Macedonia to help reduce stress. Contains no sugar, artificial colors, artificial flavors or preservatives.","A delicate floral tea. | Contains no sugar, artificial colors, artificial flavors or preservatives | 100% Certified USDA Organic, 100% Caffeine Free, 100% Gluten Free, 100% Calorie Free, 100% Sugar Free, 100% Good for You | 1 box containing 20 tea bags | Ingredients: Organic Elderflowers",4.5 out of 5 stars,"1,854 global ratings",,
B098TY1TRD,Tealyra - Bedtime - 25 Bags - Chamomile - Spearmint - Hemp Leaves - Unique Relaxing Herbal Loose Leaf Tea - Sleep and Calm Tea - All Natural - 25 Sachets,Brand: Tealyra,"Rest easy with this soothing bedtime blend that will send you off to dreamland so quickly, you won't have time to count sheep! We have crafted this sleep-saving tonic with sweet chamomile, valerian, rose petals, lemongrass, spearmint and passion flower. Valerian is a sedative herb that has been used for centuries to aid those suffering with sleep. Passionflower and hemp leaves are naturally calming; it will help ease your mind. Bedtime is a mild blend that promotes calm, sound sleep, and will help you to wake up feeling well-rested. We recommended that you drink this infusion before bedtime to increase the quality of your sleep.
Tealyra, Champlain, NY 12919 USA","Rest easy with this soothing bedtime blend that will send you off to dreamland so quickly, you won't have time to count sheep! | We have crafted this sleep-saving tonic with sweet chamomile, valerian, rose petals, lemongrass, spearmint and passion flower. | Valerian is a sedative herb that has been used for centuries to aid those suffering with sleeping. Passion flower and hemp leaves is naturally calming; it will help ease your mind. | Bedtime is a mild blend that promotes calm, sound sleep, and will help you to wake up feeling well rested. | We recommended that you drink this infusion before bedtime to increase the quality of your sleep.",4.6 out of 5 stars,134 global ratings,,
B01MXVPKX0,"Rishi Tea Golden Chamomile Blossoms Herbal Tea - Organic, Caffeine Free Loose Leaf Tea, Sleep Friendly & Calming Pure Botanical Infusion - 8.81 Ounces, 62+ Servings",Visit the Rishi Tea Store,,"GOLDEN CHAMOMILE BLOSSOMS TASTING NOTES - Golden liquoring infusion with a fragrance reminiscent of honey and fruit blossoms | SAVOR & ENJOY - Mix 1.5 tbsp, 12 oz water in a teapot. Steep for 5 minutes at 200 degrees F | GOOD FOR YOUR HEALTH - Rishi's Loose Leaf Tea is USDA Certified Organic, Certified Kosher, Non-GMO, and grown without the use of harmful chemicals, Gluten Free, Dairy Free | SUSTAINABLE BUSINESS IS A CONSCIOUS BUSINESS - From the farmers we work with overseas to our manufacturing conditions at home, we are steadfast in following our code of ethics. A conscious business is one that pays attention to both the raw materials and the human effort, recognizing it is the sum of these resources that creates a sustainable and resilient business. | OUR PROMISE TO YOU - Rishi is dedicated to sourcing only the highest quality products and your experience is important to us. If you feel the quality of our products is less than expected, please contact our customer service within 30 days of your order date",4.7 out of 5 stars,"1,114 global ratings",,
B083STP4NN,"Yogi Tea Soothing Caramel Bedtime Tea - 16 Tea Bags per Pack (4 Packs) - Calming Sleep Tea - Supports Good Sleep - Includes Chamomile Flower, Rooibos Leaf, Roasted Chicory Root & More",Visit the Yogi Store,,"Organic Sleep Tea: Yogi Soothing Caramel Bedtime tea is purposefully blended with Chamomile Flower, Skullcap, and L-Theanine to support relaxation and good sleep | Delicious Calming Tea: Naturally sweet Rooibos combines with notes of Vanilla and Caramel for a delicious and warming tea; unwind from the day with a comforting cup | Tea Bag Instructions: Bring water to boiling and steep the tea bag for 7 minutes; for a stronger tea, use 2 tea bags; drink before bedtime | Premium Tea Ingredients: This Yogi tea is vegan and NON-GMO, so you can be sure you're getting the best in every cup | Uniquely Yogi: We believe in using the highest quality spices and botanicals, complementing them with intriguing, delightful flavors, qualities that make all of our teas uniquely Yogi",4.7 out of 5 stars,827 global ratings,,
B0BRJZ6R51,"200:1 California Poppy - Organic Extract Powder Bag – Natural Plant Based Powders for Brewing, Smoothie, Tea and Infusions – Nutrient Packed Fresh and Aromatic Plant Extracts for Wellness",Brand: Generic,"When it comes to enjoying a well-balanced lifestyle that promotes optimal nutrition and wellbeing of body and mind, compromising is never an option. We are a trusted and well-experienced company that focuses on delivering natural, affordable plant based powders which are meant to add taste and nutrients to your everyday life, without interfering with your comfort or safety. We rely only on natural, carefully selected ingredients and verified suppliers, in order to meet every customer’s rigorous quality expectations. Not entirely happy with one of our products? Make sure to tell us all about it and our customer care department will address the situation!
 
 Premium Organic Variety of Herbal Extracts – The Possibilities Are Endless
 
 These plant powders are available in 13 different varieties, containing only highest quality, natural, non-GMO herbs. Arriving in a convenient 20 gram pouch with a stand-alone base for easy storage and resealable design for preserved freshness, these plant extracts are highly versatile, being suitable for water-based shots, smoothies, cooking seasoning, as well as traditional teas or plant infusions.
 
 Not entirely convinced? Here are some of the amazing features of these plant based extracts:
 
 Many varieties available to choose from
 Organic and natural;
 Resealable 20 gram pouch for prolonged freshness;
 Nutrient rich selection of herbs and plants;
 Versatile uses;
 Original gift choice for friends, loved ones.
 
 Enjoy maximum nutritional intake with our premium, organic herbal powders!
 Pickup the 25 pack today! It is your next distribution opportunity.","California Poppy: (Eschscholzia californica) Herbal Extract is a natural plant-based supplement with potential benefits for relaxation, mood management, and sleep support. With its traditional use as a natural help for sleep, California Poppy may help you relax, unwind, and get a good night's rest. | A Must in Your Home: Whether you’re a fan of a well-balanced lifestyle that’s centered on your rigorous wellness routine or you simply enjoy the occasional plant infusion that soothes and calms your senses, these herbal extracts are the perfect solution! | Highest Grade Natural Extracts: Our plant powders are made using premium quality, carefully selected ingredients, a special selection of plants which are 100% natural, containing zero fillers, preservatives, GMOs or nasties. | Nutrient Packed: These plant based extracts are rich in various indispensable nutrients, being packed with antioxidants, amino acids, fatty acids, vitamins, minerals and more. A unique blend that will delight your senses on a daily basis! | Incredibly Versatile: These herbal powders have wide applications in your household, being easy to incorporate in smoothies, teas, plant infusions, mixing well directly with water as a shot, or even as cooking spices! Choose your herb extract from 20g, 40g, and 100g bags.",,,,
B09K8W2TSN,"RootsPM Sleep Teabags - Herbal Blend of Valerian Root, Ashwagandha & Kava Kava, Natural Relaxation Tea for Restful Nights, Unsweetened & Vegan, 100% Natural Ingredients - 2 Gram Teabags - 32 Teabags",Visit the Ethnospot Store,,"Natural Sleep Tea for Restful Nights: Rediscover the joy of deep, peaceful sleep with RootsPM Sleep Tea. Crafted with a synergistic blend of Valerian Root, Ashwagandha, and Kava Kava, this tea offers a soothing experience designed to help you unwind after a busy day. Perfect for a bedtime routine, it’s a natural way to calm your evenings and prepare for restful nights. | Potent Herbal Blend with No Additives: RootsPM combines three powerful herbs—Valerian Root, Ashwagandha, and Kava Kava—known for their calming and relaxing properties. Made with 100% natural ingredients, these tea bags are free from fillers, caffeine, melatonin, and artificial additives, offering a pure and clean tea experience in every cup. | Bold and Authentic Flavor: RootsPM Sleep Tea offers a pure, earthy flavor with a naturally bitter profile, reflecting the potency of its herbal ingredients. This tea is ideal for those accustomed to the taste of traditional, bitter teas, seeking function over flavor. While not sweet or indulgent, it provides an authentic and purposeful tea experience. | Sustainable and Convenient Packaging: Each pouch of RootsPM Sleep Tea contains 32 tea bags, providing a full month’s supply of premium herbal tea. Packaged in eco-friendly, recyclable materials, it reflects a commitment to sustainability. Each 2-gram tea bag is designed for easy steeping, delivering convenience without compromising quality or purity. | Herbal Blend with Multifaceted Benefits: RootsPM Sleep Tea combines Valerian Root, Ashwagandha, and Kava Kava, ingredients traditionally used for their calming and restorative properties. Beyond preparing for restful sleep, this blend supports overall relaxation, helps ease tension, and encourages a sense of well-being, making it an ideal addition to your evening routine.",4 out of 5 stars,33 global ratings,"Kava Kava, Valerian Root, Ashwagandha",
